param_set	bustakers_fraction	cap_vehicles	graph_h	graph_ttt_factor	num_vehicles	repetition	sample_trip_frac	sample_trip_seed
0	1.0	8	6	1	10	1	1.0	21
1	1.0	8	6	3	10	1	1.0	21
2	0.8	8	6	1	10	1	0.8	21
3	0.8	8	6	3	10	1	0.8	21
4	0.6	8	6	1	10	1	0.6	21
5	0.6	8	6	3	10	1	0.6	21
6	0.4	8	6	1	10	1	0.4	21
7	0.4	8	6	3	10	1	0.4	21
8	0.2	8	6	1	10	1	0.2	21
9	0.2	8	6	3	10	1	0.2	21
10	1.0	8	6	1	10	2	1.0	22
11	1.0	8	6	3	10	2	1.0	22
12	0.8	8	6	1	10	2	0.8	22
13	0.8	8	6	3	10	2	0.8	22
14	0.6	8	6	1	10	2	0.6	22
15	0.6	8	6	3	10	2	0.6	22
16	0.4	8	6	1	10	2	0.4	22
17	0.4	8	6	3	10	2	0.4	22
18	0.2	8	6	1	10	2	0.2	22
19	0.2	8	6	3	10	2	0.2	22
20	1.0	8	6	1	10	3	1.0	23
21	1.0	8	6	3	10	3	1.0	23
22	0.8	8	6	1	10	3	0.8	23
23	0.8	8	6	3	10	3	0.8	23
24	0.6	8	6	1	10	3	0.6	23
25	0.6	8	6	3	10	3	0.6	23
26	0.4	8	6	1	10	3	0.4	23
27	0.4	8	6	3	10	3	0.4	23
28	0.2	8	6	1	10	3	0.2	23
29	0.2	8	6	3	10	3	0.2	23
30	1.0	8	6	1	10	4	1.0	24
31	1.0	8	6	3	10	4	1.0	24
32	0.8	8	6	1	10	4	0.8	24
33	0.8	8	6	3	10	4	0.8	24
34	0.6	8	6	1	10	4	0.6	24
35	0.6	8	6	3	10	4	0.6	24
36	0.4	8	6	1	10	4	0.4	24
37	0.4	8	6	3	10	4	0.4	24
38	0.2	8	6	1	10	4	0.2	24
39	0.2	8	6	3	10	4	0.2	24
40	1.0	8	6	1	10	5	1.0	25
41	1.0	8	6	3	10	5	1.0	25
42	0.8	8	6	1	10	5	0.8	25
43	0.8	8	6	3	10	5	0.8	25
44	0.6	8	6	1	10	5	0.6	25
45	0.6	8	6	3	10	5	0.6	25
46	0.4	8	6	1	10	5	0.4	25
47	0.4	8	6	3	10	5	0.4	25
48	0.2	8	6	1	10	5	0.2	25
49	0.2	8	6	3	10	5	0.2	25
50	1.0	8	6	1	10	6	1.0	26
51	1.0	8	6	3	10	6	1.0	26
52	0.8	8	6	1	10	6	0.8	26
53	0.8	8	6	3	10	6	0.8	26
54	0.6	8	6	1	10	6	0.6	26
55	0.6	8	6	3	10	6	0.6	26
56	0.4	8	6	1	10	6	0.4	26
57	0.4	8	6	3	10	6	0.4	26
58	0.2	8	6	1	10	6	0.2	26
59	0.2	8	6	3	10	6	0.2	26
60	1.0	8	6	1	10	7	1.0	27
61	1.0	8	6	3	10	7	1.0	27
62	0.8	8	6	1	10	7	0.8	27
63	0.8	8	6	3	10	7	0.8	27
64	0.6	8	6	1	10	7	0.6	27
65	0.6	8	6	3	10	7	0.6	27
66	0.4	8	6	1	10	7	0.4	27
67	0.4	8	6	3	10	7	0.4	27
68	0.2	8	6	1	10	7	0.2	27
69	0.2	8	6	3	10	7	0.2	27
70	1.0	8	6	1	10	8	1.0	28
71	1.0	8	6	3	10	8	1.0	28
72	0.8	8	6	1	10	8	0.8	28
73	0.8	8	6	3	10	8	0.8	28
74	0.6	8	6	1	10	8	0.6	28
75	0.6	8	6	3	10	8	0.6	28
76	0.4	8	6	1	10	8	0.4	28
77	0.4	8	6	3	10	8	0.4	28
78	0.2	8	6	1	10	8	0.2	28
79	0.2	8	6	3	10	8	0.2	28
80	1.0	8	6	1	10	9	1.0	29
81	1.0	8	6	3	10	9	1.0	29
82	0.8	8	6	1	10	9	0.8	29
83	0.8	8	6	3	10	9	0.8	29
84	0.6	8	6	1	10	9	0.6	29
85	0.6	8	6	3	10	9	0.6	29
86	0.4	8	6	1	10	9	0.4	29
87	0.4	8	6	3	10	9	0.4	29
88	0.2	8	6	1	10	9	0.2	29
89	0.2	8	6	3	10	9	0.2	29
